Date,Time,Part,Standard,Unit,Tolerance,Measured,Status
2024-09-07,04:59:24,vivo,157,gr,161,2.00,NG
2024-09-07,04:59:38,vivo,157,gr,157,2.00,OK
2024-09-07,05:03:12,vivo,157,gr,157,2.00,OK
2024-09-07,05:15:43,vivo,157,gr,157,2.00,OK
2024-09-07,05:20:24,vivo,157,gr,157,2.00,OK
2024-09-06,09:41:06,K1AL-N801,218,gr,161,2.00,NG
2024-09-06,11:30:05,K1AL-N801,218,gr,2,2.00,NG
2024-09-06,11:32:49,K1AL-N801,218,gr,137,2.00,NG
2024-09-06,16:56:55,vivo,157,gr,158,2.00,OK
2024-09-06,16:57:04,vivo,157,gr,157,2.00,OK
2024-09-06,16:57:15,vivo,157,gr,16,2.00,NG
2024-09-06,16:57:27,vivo,157,gr,157,2.00,OK
2024-09-06,17:01:03,vivo,157,gr,16,2.00,NG
2024-09-06,17:01:07,vivo,157,gr,6,2.00,NG
2024-09-06,17:01:14,vivo,157,gr,157,2.00,OK
2024-09-06,17:01:24,vivo,157,gr,157,2.00,OK
2024-09-06,17:01:34,vivo,157,gr,157,2.00,OK
2024-09-06,17:02:51,vivo,157,gr,156,2.00,OK
2024-09-06,17:03:01,vivo,157,gr,157,2.00,OK
2024-09-06,17:03:10,vivo,157,gr,157,2.00,OK
2024-09-06,17:34:47,vivo,157,gr,157,2.00,OK
2024-09-06,17:54:34,vivo,157,gr,157,2.00,OK
2024-09-06,17:57:43,vivo,157,gr,158,2.00,OK
2024-09-06,17:57:53,vivo,157,gr,157,2.00,OK
2024-09-06,17:58:01,vivo,157,gr,157,2.00,OK
2024-09-06,17:58:11,vivo,157,gr,156,2.00,OK
2024-09-06,18:28:11,vivo,157,gr,158,2.00,OK
2024-09-06,18:30:43,vivo,157,gr,158,2.00,OK
2024-09-06,19:11:51,vivo,157,gr,156,2.00,OK
2024-09-06,19:14:27,vivo,157,gr,159,2.00,NG
2024-09-06,19:14:43,vivo,157,gr,157,2.00,OK
2024-09-06,19:15:58,vivo,157,gr,156,2.00,OK
2024-09-06,19:18:33,vivo,157,gr,157,2.00,OK
2024-09-06,19:20:46,vivo,157,gr,157,2.00,OK
2024-09-06,19:21:25,vivo,157,gr,157,2.00,OK
2024-09-06,19:23:28,vivo,157,gr,157,2.00,OK
2024-09-06,19:24:15,vivo,157,gr,157,2.00,OK
2024-09-06,19:25:21,vivo,157,gr,157,2.00,OK
2024-09-06,19:33:58,vivo,157,gr,156,2.00,OK
2024-09-06,19:54:16,vivo,157,gr,157,2.00,OK
2024-09-06,19:59:33,vivo,157,gr,157,2.00,OK
2024-09-06,20:01:58,vivo,157,gr,157,2.00,OK
2024-09-05,11:38:30,PART 01,23,gr,5,1.00,NG
2024-09-04,22:37:06,PART 01,23,gr,8,1.00,NG
2024-09-01,15:54:12,PART 02,62,gr,163,1.00,NG
2024-09-01,16:37:22,PART 01,128,gr,164,0.05,NG
2024-09-01,17:18:54,PART 01,100,gr,214,5.00,NG
2024-09-01,17:20:02,PART 01,100,gr,351,5.00,NG
2024-08-24,10:46:11,vivo y95,163,gr,163,2.50,OK
2024-08-24,10:46:59,vivo y95,163,gr,163,2.50,OK
2024-08-24,10:47:15,vivo y95,163,gr,163,2.50,OK
2024-08-24,10:47:28,vivo y95,163,gr,163,2.50,OK
2024-08-24,10:47:39,vivo y95,163,gr,163,2.50,OK
2024-08-24,10:53:49,vivo y95,163,gr,163,2.50,OK
2024-08-24,11:07:45,vivo y95,163,gr,163,2.50,OK
2024-08-24,11:07:56,vivo y95,163,gr,163,2.50,OK
2024-08-24,11:08:07,vivo y95,163,gr,163,2.50,OK
2024-08-24,11:08:18,vivo y95,163,gr,163,2.50,OK
2024-08-24,11:08:30,vivo y95,163,gr,163,2.50,OK
2024-08-24,11:09:07,vivo y95,163,gr,163,2.50,OK
2024-08-24,11:10:16,Lighter,14,gr,14,2.50,OK
2024-08-24,11:10:30,Lighter,14,gr,14,2.50,OK
2024-08-24,11:10:42,Lighter,14,gr,14,2.50,OK
2024-08-24,11:10:54,Lighter,14,gr,14,2.50,OK
2024-08-24,11:11:08,Lighter,14,gr,13,2.50,OK
2024-08-24,11:17:57,vivo y95,163,gr,163,2.50,OK
2024-08-24,11:18:09,vivo y95,163,gr,163,2.50,OK
2024-08-24,11:18:22,vivo y95,163,gr,163,2.50,OK
2024-08-24,11:18:34,vivo y95,163,gr,163,2.50,OK
2024-08-24,11:18:55,Lighter,14,gr,14,2.50,OK
2024-08-24,11:19:08,Lighter,14,gr,14,2.50,OK
2024-08-22,15:50:33,vivo y95,163,gr,163,2.50,OK
2024-08-22,15:50:56,vivo y95,163,gr,164,2.50,OK
2024-08-22,15:53:08,Lighter,14,gr,12,2.50,OK
2024-08-22,15:54:15,vivo y95,163,gr,163,2.50,OK
2024-08-22,16:04:36,vivo y95,163,gr,165,2.50,OK
2024-08-22,16:04:55,vivo y95,163,gr,165,2.50,OK
2024-08-22,16:05:36,vivo y95,163,gr,164,2.50,OK
2024-08-22,16:05:55,vivo y95,163,gr,164,2.50,OK
2024-08-22,16:06:26,vivo y95,163,gr,164,2.50,OK
2024-08-22,16:06:52,Lighter,14,gr,14,2.50,OK
2024-08-22,16:07:11,Lighter,14,gr,14,2.50,OK
2024-08-22,16:07:29,Lighter,14,gr,14,2.50,OK
2024-08-22,16:08:42,vivo y95,163,gr,163,2.50,OK
2024-08-22,16:10:55,vivo y95,163,gr,165,2.50,OK
2024-08-22,16:11:10,vivo y95,163,gr,165,2.50,OK
2024-08-22,16:11:23,vivo y95,163,gr,165,2.50,OK
2024-08-22,16:11:35,vivo y95,163,gr,165,2.50,OK
2024-08-22,16:11:48,vivo y95,163,gr,165,2.50,OK
2024-08-22,16:11:59,vivo y95,163,gr,165,2.50,OK
2024-08-22,16:12:10,vivo y95,163,gr,165,2.50,OK
2024-08-20,11:36:33,vivo y95,163,gr,164,2.50,OK
2024-08-20,11:36:54,vivo y95,163,gr,161,2.50,OK
2024-08-20,11:37:11,vivo y95,163,gr,164,2.50,OK
2024-08-20,12:25:51,Lighter,14,gr,14,2.50,OK
2024-08-20,12:25:59,Lighter,14,gr,14,2.50,OK
2024-08-20,15:03:12,vivo y95,163,gr,164,2.50,OK
2024-08-20,15:03:22,vivo y95,163,gr,164,2.50,OK
2024-08-20,15:03:39,Lighter,14,gr,14,2.50,OK
2024-08-20,15:03:48,Lighter,14,gr,15,2.50,OK
2024-08-20,15:06:09,vivo y95,163,gr,163,2.50,OK
2024-08-20,15:06:18,vivo y95,163,gr,164,2.50,OK
2024-08-20,15:06:30,Lighter,14,gr,15,2.50,OK
2024-08-20,15:06:38,Lighter,14,gr,13,2.50,OK
2024-08-20,15:15:28,vivo y95,163,gr,163,2.50,OK
2024-08-20,15:15:35,vivo y95,163,gr,164,2.50,OK
2024-08-20,15:15:43,vivo y95,163,gr,164,2.50,OK
2024-08-20,15:15:53,Lighter,14,gr,15,2.50,OK
2024-08-20,15:16:00,Lighter,14,gr,15,2.50,OK
2024-08-20,22:05:34,vivo y95,163,gr,164,2.50,OK
2024-08-20,22:05:38,vivo y95,163,gr,163,2.50,OK
2024-08-20,22:05:42,vivo y95,163,gr,164,2.50,OK
2024-08-20,22:05:45,vivo y95,163,gr,164,2.50,OK
2024-08-20,22:05:48,vivo y95,163,gr,164,2.50,OK
2024-08-20,22:06:28,Lighter,14,gr,14,2.50,OK
2024-08-20,22:06:33,Lighter,14,gr,14,2.50,OK
2024-08-20,22:06:37,Lighter,14,gr,14,2.50,OK
2024-08-20,22:06:59,Lighter,14,gr,11,2.50,OK
2024-08-20,22:07:03,Lighter,14,gr,14,2.50,OK
2024-08-20,22:07:11,Lighter,14,gr,14,2.50,OK
2024-08-20,22:07:15,Lighter,14,gr,14,2.50,OK
2024-08-20,22:07:29,Lighter,14,gr,14,2.50,OK
2024-08-20,22:07:35,Lighter,14,gr,14,2.50,OK
2024-08-20,22:07:39,Lighter,14,gr,14,2.50,OK
2024-08-20,22:07:43,Lighter,14,gr,14,2.50,OK
2024-08-20,22:07:56,vivo y95,163,gr,164,2.50,OK
2024-08-20,22:08:02,vivo y95,163,gr,164,2.50,OK
